Year,LapNumber,Attacker_Driver,Defender_Driver,Attacker_Position,Attacker_LapTime,Attacker_TyreLife,Attacker_Compound,Defender_LapTime,Defender_TyreLife,Defender_Compound,Delta_LapTime,Delta_TyreLife,Compound_Advantage,Estimated_Gap,IsOvertake
2022,7.0,VER,LEC,2.0,85.297,7.0,SOFT,85.467,7.0,SOFT,-0.1700000000000017,0.0,0,0.08500000000000085,0
2022,7.0,RUS,VER,3.0,86.255,7.0,SOFT,85.297,7.0,SOFT,0.9579999999999984,0.0,0,0.4789999999999992,0
2022,7.0,RIC,RUS,4.0,87.222,7.0,MEDIUM,86.255,7.0,SOFT,0.9669999999999987,0.0,-1,0.4834999999999994,0
2022,7.0,GAS,RIC,5.0,87.368,7.0,MEDIUM,87.222,7.0,MEDIUM,0.1460000000000008,0.0,0,0.0730000000000004,0
2022,7.0,NOR,GAS,6.0,87.265,7.0,MEDIUM,87.368,7.0,MEDIUM,-0.10299999999999443,0.0,0,0.051499999999997215,0
2022,7.0,ALO,NOR,7.0,87.203,7.0,MEDIUM,87.265,7.0,MEDIUM,-0.06199999999999761,0.0,0,0.030999999999998806,0
2022,7.0,DEV,ALO,8.0,87.341,7.0,SOFT,87.203,7.0,MEDIUM,0.13799999999999102,0.0,1,0.06899999999999551,0
2022,7.0,ZHO,DEV,9.0,87.3,7.0,MEDIUM,87.341,7.0,SOFT,-0.04099999999999682,0.0,-1,0.02049999999999841,0
2022,7.0,SAI,ZHO,10.0,86.477,7.0,MEDIUM,87.3,7.0,MEDIUM,-0.8229999999999933,0.0,0,0.41149999999999665,1
2022,7.0,STR,SAI,11.0,87.694,8.0,MEDIUM,86.477,7.0,MEDIUM,1.2169999999999987,1.0,0,0.6084999999999994,0
2022,7.0,VET,STR,12.0,87.662,8.0,MEDIUM,87.694,8.0,MEDIUM,-0.031999999999996476,0.0,0,0.015999999999998238,0
2022,7.0,OCO,VET,13.0,87.642,7.0,SOFT,87.662,8.0,MEDIUM,-0.020000000000010232,-1.0,1,0.010000000000005116,0
